,tweets,likes,time,source
199,🔊 @G7 @EUCouncil @g20org: The devastating floods in Pakistan show why climate finance is needed NOW. The promised $100 billion is two years behind schedule. People are suffering – when will you be stepping up? https://t.co/45hlXAsYq1,0,2022-11-26 06:40:53+00:00,Global Citizen Mobile App
206,"Turn 30 and fly to Pakistan for my first @SURGE_UNDP mission on the same day? Why not! 🇵🇰

Happy to be here to support the #HDPnexus and promote development solutions following the floods. 

#ProudSURGE",6,2022-11-26 06:19:09+00:00,Twitter for iPhone
208,"My colleagues at @UNICEF_Pakistan are doing everything possible to reach children affected by floods with direly needed assistance. The risks on the ground continue to be high, but moments like this give us renewed hope to keep going! Thanks for sharing @austinkchu! https://t.co/qcUvLlOnKt",29,2022-11-26 06:15:00+00:00,Twitter Web App
209,"By making it difficult for Islamabad to access the promised funds, the IMF is only deepening Pakistan’s liquidity crisis that has been aggravated by the floods and political turmoil.  https://t.co/x3bPneuSke",46,2022-11-26 06:06:56+00:00,Twitter for iPhone
216,@TheLegateIN @narendramodi should prevent water from India reaching #Pakistan in order to prevent #PakistanFloods that would help them in restoring their dignity by working hard and not begging for foreign flood aid,0,2022-11-26 05:28:15+00:00,Twitter for Android
220,"@kevanirishguy @carnaIcopia I served my country with pride and honour for 25 years.
I made a difference in the world. Saved homes from floods, food to earthquake victims in Haiti and Pakistan and set a hospital for raped women in Sudan.
What about you? Ever made a difference in anyone life?
#CanadianVets",1,2022-11-26 04:45:53+00:00,Twitter for iPad
225,@pubgUsmankhan @Unit085 If the previous floods of Pakistan because of your ignorance in religion https://t.co/jRvIENbIeQ,0,2022-11-26 03:54:06+00:00,Twitter for iPhone
227,@RAZZAQWAJI @AJEnglish If the previous floods of Pakistan because of your ignorance in religion؟,0,2022-11-26 03:42:20+00:00,Twitter for iPhone
229,"@disclosetv @sherryrehman @CMShehbaz @OfficialDGISPR 
Why not Pakistan sue US and all European countries in international courts for floods? 
Pakistan should default on foreign loans tell them to adjust $80 billion for anti-terrorism and $50 billion for floods caused by global warming.",0,2022-11-26 03:31:11+00:00,Twitter Web App
237,"@TheLegateIN Inspite of this aid money, #Pakistan gets floods every year. The aid money doesn't go to building infrastructure that could reduce or avoid floods.",0,2022-11-26 03:02:26+00:00,Twitter Web App
242,@AzkaKhalid7 @Vineetk63608064 @BrawlUmais @Abbas196_ Pakistan is only nation where foreign flood relief aid is celebrated by army and politicians alike but never gets delivered to ones who are actually affected by floods in rural areas.,0,2022-11-26 02:34:27+00:00,Twitter for Android
255,"ADB has stressed that there is an imperative requirement to upgrade Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes. Learn more at #SDC2022",1,2022-11-26 02:05:19+00:00,Twitter for Android
274,"@Pakistanomy @AliAsjad1 Pakistan is already stable, with nukes to protect. Eating grass after floods is no problem, lots of it",0,2022-11-26 00:32:34+00:00,Twitter for Android
275,"Rural Development Foundation (RDF), a local Spark Fund partner in Pakistan, is assisting women and children who have been affected by the recent devastating floods that left a trail of destruction in Sindh province. 

 🔽Get the full story🔽 
https://t.co/y3e3n8bBn2",0,2022-11-26 00:30:02+00:00,Sprout Social
280,"#NSTopinion Back in Lagan Khar, Bibi said she was impatient for her school to be rebuilt so she could finish her education and inspire others. #Pakistan #Floods 

https://t.co/PdWafwygqe",1,2022-11-26 00:20:00+00:00,Twitter Web App
285,"@GeraldKutney @ChrisMartzWX @TonyClimate those large death totals from 1920s to 1940s were earthquakes

extreme events 2022: European heat wave linked to 53,000 deaths ; then the floods in Pakistan, heatwaves in India and China killed thousands more, etc, etc",11,2022-11-25 23:59:00+00:00,Twitter Web App
286,"@LonnieHart64 @laurenboebert Nov 24 EWE:  Pakistan — 125,000 houses damaged in Balochistan floods. https://t.co/RUIjKAksyI",0,2022-11-25 23:53:13+00:00,Twitter Web App
288,"@JesustruthP Nov 24 EWE:  Pakistan — 125,000 houses damaged in Balochistan floods. https://t.co/RUIjKA3pwI",0,2022-11-25 23:53:02+00:00,Twitter Web App
292,"@TheEconomist She is nothing but a fake person. She doesn't even know how severely the global climate change is effecting Pakistan’s climate causing floods every year, she surely didn't help any flood affected families. She is from the most corrupt political party in Pakistan 👎👎",0,2022-11-25 23:20:06+00:00,Twitter for iPhone
293,@n_pensthetweets @Heymemedah The floods came as a curse because Niazi lives. When Niazi dies all curses will be lifted from Pakistan,0,2022-11-25 23:16:52+00:00,Twitter for iPhone
294,Space data to help Pakistan recover from its record floods - Space data to help Pakistan recover from its record floods - Sentinel Success Stories - Sentinel Online https://t.co/d5iGQbsd1K,0,2022-11-25 22:56:24+00:00,Twitter for Android
301,"Islamic Relief have already reached nearly 60,000 women across #Pakistan, but plan to step up the work to ""prevent gender-based violence by establishing safe spaces for women and children.""

📰 @HungerMagazine | #16Days https://t.co/tdH2pu6UzX",5,2022-11-25 22:19:00+00:00,Sprout Social
304,"The new reg who I met as he hadn’t started his training as of yet;
Relocation/sorting childcare for a child with speech difficulties/ close family derailed &amp; made homeless by Pakistan floods….🤔
Had to meet in person to hear a story like that than in an email! #newTPDlife 
/3",1,2022-11-25 22:09:17+00:00,Twitter for iPhone
306,"1/Climate Fund Arrangement:

Pooling 💰💰 for countries that have been the most affected by #ClimateCrisis

Ex: The Pakistan Floods, giving out a solar panel or sea wall isn't much of a use

We need to contribute to rebuilding &amp; protecting such countries that have lost a lot!",5,2022-11-25 22:04:22+00:00,Twitter for iPhone
311,@JohnUmphress @Paul_James_1 @RARohde Pakistan is on a flood plain. It floods all the time.  Worst yrs looks like 1950s. https://t.co/nfsLPgOgbC,0,2022-11-25 21:04:44+00:00,Twitter for Android
314,"@Informative1_ @Heymemedah Pakistan drowned in floods ppl from world came over for help , except for mr 3 times pm “yeh hain woh zaraye” and his family! He will go to Qatar I am sure and anywhere but to Pak because it’s only for looting",0,2022-11-25 20:44:28+00:00,Twitter for iPhone
318,"So @adnanactor is a great friend but MY Pakistan is an inclusive, loving country. Diversity is the glue binding us together. Pak sar zamin is a living, breathing anthem

Is a Baloch who lost everything in the floods singing it with his ethnic accent not good enough for us? 🇵🇰💔 https://t.co/QkLWS3phtc",20,2022-11-25 20:20:28+00:00,Twitter Web App
324,"KYP staff members &amp; our elders from Apna Ghar Day Care Centre took part in a sponsored walk to Hollingworth Lake and back, to raise money to help the people in Pakistan affected by the devastating floods.
#rochdalewalktopakistan https://t.co/Sb7h4nLKCY",6,2022-11-25 19:42:59+00:00,Twitter for iPhone
332,"*Pakistan Floods Update*

It’s now been 6 months since the floods hit and with your kind donations we have provided food packs, tents and basic medical care. 

Flood waters have subsided and people have been returning to the areas where their homes once stood. https://t.co/YXQdaqIHoN",1,2022-11-25 19:14:44+00:00,Twitter for iPhone
339,"We have seen many still stuck in flood water ! Property and infrastructure #damage. Road closures, erosion and landslide risks. Crop destruction and #livestock loss. And the most important, the great loss of human life.

#Pakistan #floodies2022 #floodinpakistan #Floods https://t.co/HpghkSKElS",0,2022-11-25 19:07:03+00:00,Twitter for Android
342,"@sunlit_upland @MarstonGareth @StuartBroadbent @cynicalkind @PaulMBigland @Penmcgregor I do think about it, I think what a waste of Emissions on Building Overpriced Bubble Investments/Infrastructure That Are Not Homes/Useful. Many care about keeping Living Planet. Many think 33M in floods in Pakistan &amp; 37M in Famine in Horn of Africa  quite enough and time to stop. https://t.co/fHMGHUunmK",0,2022-11-25 18:45:01+00:00,Twitter Web App
343,"ADB has stressed that there is an imperative requirement to upgrade Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes. Learn more at #SDC2022",1,2022-11-25 18:44:07+00:00,Twitter for Android
346,"Torrential rains and flash floods have created humanitarian emergency in Pakistan. Families is in dire need of basic food rations and other supplies. Please continue supporting in our relief efforts.

 #pakistanfloods #FloodReliefOperations #donatetoday #Balochistanfloods https://t.co/7HX2XUs4xm",0,2022-11-25 18:36:07+00:00,Twitter Web App
347,"UN agencies and international humanitarian partners also supported the Government of Pakistan during the 2005 earthquake and 2010 floods. Join panel discussion on ""Floods in Pakistan: Bringing Local Perspective through International Humanitarian Organisations"" in #SDC2022",1,2022-11-25 18:32:49+00:00,Twitter for Android
360,"UN agencies and international humanitarian partners also supported the Government of Pakistan during the 2005 earthquake and 2010 floods. Join panel discussion on ""Floods in Pakistan: Bringing Local Perspective through International Humanitarian Organisations"" in #SDC2022",1,2022-11-25 18:20:53+00:00,Twitter for Android
363,"ADB has stressed that there is an imperative requirement to upgrade Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes. Learn more at #SDC2022",2,2022-11-25 18:20:01+00:00,Twitter for Android
408,"Any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities. Learn more in #SDC2022 panel on 'Floods in Pakistan' organized by @SDPIPakistan and @PHFHumanitarian
Details: https://t.co/ZKlxg3s4Dl",1,2022-11-25 17:58:12+00:00,Twitter for Android
409,"UN agencies and international humanitarian partners also supported the Government of Pakistan during the 2005 earthquake and 2010 floods. Join panel discussion on ""Floods in Pakistan: Bringing Local Perspective through International Humanitarian Organisations"" in #SDC2022",2,2022-11-25 17:57:45+00:00,Twitter for Android
412,"ADB has stressed that there is an imperative requirement to upgrade Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes. Learn more at #SDC2022 https://t.co/YT2e4akloK",2,2022-11-25 17:53:48+00:00,Twitter for Android
414,"Climate-Security Nexus in Balochistan
https://t.co/ZUcNAP6mPm via @DiplomaticIns

#TDI #TDIAsia #ClimateChange #Balochistan #Pakistan #humansecurity #floods #climatecrisis

@OfficialNUST @HSF_Pakistan @HSSde @Steffen_Kudella @ndmapk",0,2022-11-25 17:50:40+00:00,TweetDeck
416,"ADB has stressed that there is an imperative requirement to upgrade Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with calamities like floods and earthquakes. Learn more at #SDC2022",1,2022-11-25 17:47:23+00:00,Twitter for Android
418,@TheSaadKaiser Absolutely. Who in Pakistan can take an expensive vacation to enjoy in Europe while the country flounders economically and is ravaged by floods.,0,2022-11-25 17:39:44+00:00,Twitter for Android
420,"Any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities. Learn more in #SDC2022 panel on 'Floods in Pakistan' organized by @SDPIPakistan and @PHFHumanitarian
Details: https://t.co/CK7xhtdJsh",0,2022-11-25 17:32:44+00:00,Twitter for Android
422,"UN agencies and international humanitarian partners also supported the Government of Pakistan during the 2005 earthquake and 2010 floods. Join panel discussion on ""Floods in Pakistan: Bringing Local Perspective through International Humanitarian Organisations"" in #SDC2022",0,2022-11-25 17:32:15+00:00,Twitter for Android
423,"UN agencies and international humanitarian partners also supported the Government of Pakistan during the 2005 earthquake and 2010 floods. Join panel discussion on ""Floods in Pakistan: Bringing Local Perspective through International Humanitarian Organisations"" in #SDC2022",0,2022-11-25 17:29:01+00:00,Twitter for Android
424,"Any effort towards disaster mitigation is not possible without the deep involvement and active participation of local communities. Learn more in #SDC2022 panel on 'Floods in Pakistan' organized by @SDPIPakistan and @PHFHumanitarian
Details: https://t.co/MJJu6bIJuZ",0,2022-11-25 17:28:42+00:00,Twitter for Android
431,"#Pakistan Army Thief Gen Bajwa wife wealth multiplied from Zero to PKR 2.2 Bn in 6 years whereas Paki economy drowned with the floods begging for IMF loans. #JagoKashmir to the reality of fake #MadinaKiRiyasat in #Pakistan. 
Source link
https://t.co/qOwg47tg5u https://t.co/bCHgUj5nbk",4,2022-11-25 17:21:01+00:00,Twitter for Android
432,"This project will provide food for 1 month to 1,000 flood-affected #displacedfamilies &amp; financial assistance in building their🏠. #Heavyrains have triggered floods &amp; wreaked havoc across much of #Pakistan leaving 903 dead 184,000 displaced &amp; 50,000 people homeless @GlobalGiving https://t.co/PMl4FDtHwl",0,2022-11-25 17:21:00+00:00,Twitter Web App
438,"ADB has stressed that there is an imperative requirement to upgrade
Pakistan’s approach toward DRF and how risk preserving
procedures are inadequate to deal with the damages linked with
calamities like floods and earthquakes. Learn more at #SDC2022",1,2022-11-25 17:15:00+00:00,TweetDeck
440,@Cold_Peace_ Umm hello American institutions are still banning rolling Pakistan like the IMF and World Bank. And the US gave tons of aid relief when the floods happened,0,2022-11-25 17:11:43+00:00,Twitter for iPhone
450,@TandonRaveena How much did Bollywood donate for #AssamFloods #BiharFloods or any other natural calamity in India? NIL. But they donted in Pakistan Floods &amp; earthquake.  Time for #BoycottbollywoodCompletely,2,2022-11-25 16:47:03+00:00,Twitter for Android
452,"5-year-old Sarfraz received school supplies on his first day of class at a UNICEF supported temporary learning centre in Pakistan. 

UNICEF is working around the clock to support children in Pakistan. As needs grow, help by donating today.

👉 https://t.co/04lBboV5Z0 https://t.co/NVJ82WXjui",3,2022-11-25 16:44:00+00:00,Twitter Web App
453,"Hasnain &amp; team @Naya__Pakistan_ deserve special appreciation
doing great job covering #LongMarch MA

Be it the heat of summers
rain
floods
&amp; now
cold winter nights
They tirelessly shared minutely visuals &amp; common man's views serving literally as VOICE of 🇵🇰

 #چلو_چلو_پنڈی_چلو",0,2022-11-25 16:42:24+00:00,Twitter for Android
457,"2 months ago, the worst floods in decades swept #Pakistan, but families continue to suffer as they endure the devastating consequences.

With your support, Islamic Relief has reached over 554,650 people so far, but more needs to be done.

🔗 Read more: https://t.co/jemuLDXqjt https://t.co/32XIRytmMs",6,2022-11-25 16:40:12+00:00,Hootsuite Inc.
460,"#NSTopinion Back in Lagan Khar, Bibi said she was impatient for her school to be rebuilt so she could finish her education and inspire others. #Pakistan #Floods 

https://t.co/PdWafwPRhM",2,2022-11-25 16:37:13+00:00,Twitter Web App
462,"🇵🇰 “The arrival of a military truck carrying aid sparked scenes of desperation: Survivors attacked it, hanging off it, throwing rocks at it.” | Writes @MenaalMunshey https://t.co/hnIAczcGqP",5,2022-11-25 16:32:00+00:00,Buffer
465,"@SpokespersonCHN You could have donated it to your ally, #Pakistan where so many people have recently become homeless due to devastating floods. @GovtofPakistan you could have them sourced to you.",0,2022-11-25 16:28:03+00:00,Twitter for iPhone
476,"The time for climate action is now.Our communities are already facing climactic shocks with alot of implications across vulnerable communities.Recent floods in Pakistan, Nigeria, Cameroon are signals and warnings for humanity to act fast.",6,2022-11-25 16:10:38+00:00,Twitter for Android
478,"@SalahuddinKhaan @Ra16814638Raj @CricCrazyJohns Hoga na bilkul, we are working extra hard for everyone, because 1947 mein partition ki wajah se desh ka toilet Pakistan jo tha woh alag hogya tha na. 
80%+ of country is already covered. 
Tension mat lo. Aap apne 4 crore jo floods ko jhele hai unki zindagio ki chinta karo.",0,2022-11-25 16:03:29+00:00,Twitter for Android
