,CLEAN_tweets,likes
1318,dpc pcu pgdp ms ahad khan was invited to meet senior diplomats of uk to discuss current scenario of climate change floods water management in country they also discussed opportunities for uk in building pak s resilience https t co tqclwk aty,3
1413,dr kiran hassan write an amazing piece for titled as where did the media go wrong with reporting on floods in pakistan https t co xnvqdseeuu,9
382,due to severe damage caused to the rice crop by the floods in sindh rice exports are expected to decline by this year resulting in pakistan losing over million in foreign exchange https t co mnge gc,0
639,during the interaction coas said the business community has always helped people of pakistan during various natural calamities including their support in recent floods,1
728,during the recent floods in pakistan it was heart-breaking to see a mother of young children and a th on the way crouched on a muddy bank no clean drinking water no food no shelter exposed to the elements it is not racist eugenics to speak up for womens rights,1
773,earlier this year pakistan was struck by devastating monsoon floods that left nearly a third of the country under water affecting more than million people bbzleadingclimatejustice aliali,12
1032,earlier this year pakistan was struck by devastating monsoon floods that left nearly a third of the country under water affecting more than million people bbzleadingclimatejustice https t co dwoesvmxcz,7
983,earlier this year pakistan was struck by devastating monsoon floods that left nearly a third of the country under water affecting more than million people bbzleadingclimatejustice https t co ebhvef tc,1
1015,earlier this year pakistan was struck by devastating monsoon floods that left nearly a third of the country under water affecting more than million people bbzleadingclimatejustice https t co f xh cuhqx,0
1011,earlier this year pakistan was struck by devastating monsoon floods that left nearly a third of the country under water affecting more than million people bbzleadingclimatejustice https t co pir geknjm,0
435,economist jeffrey sachs describes an economists method to calculate fair compensation to pakistan for the loss and damage it experienced of the floods sachs is professor at columbia and president of the un sustainable development solutions network https t co dzijujid,0
128,eeeks complete slamic takeover of fiji underway backed by slamic pakistan literally drowning in floods while hindu majority india with its muscular economy informed diaspora indigenous aircraft carrier is apathetic to plight of fijian hindus https t co takomwjage https t co ojhguvkko,2
200,emergency response teams continue to provide support to people affected by the recent floods that hit the country recently pakistan red crescent teams https t co letplqsqiz,11
1386,emergingbalochistan providing services to pregnant lactating woman affected by pakistan floods in sohbatpur balochistan https t co q h hgp ky,2
655,essay pakistan floods ancient grains like millet could be key to rebuilding food systems foodsecurity pseudograins millet grains https t co uxucmtagv,0
1154,estimates more than million childrens education has been interrupted due to the floods in pakistan the longer schools remain closed the greater the risk of children dropping out altogether increasing their likelihood of being exploited and abused pakistan https t co w gn vmdsp,2
993,et day locked out of work accounts fix it https t co gkuamkvkvo pakistanfloods millions homeless facing starvation save a life https t co bu oqoopor pakistan khabib pennyappealcanada,1
1060,even worse back in at feet all i could see was a lake extending to the horizon only here and there a few treetops jutted out of the water it looked just like a sea https t co hpnn siklc,1
918,every few yrs floods in pakistan do you thing it could be due to water of mountains and also government not bothering about doing anything about rivers,0
241,exactly for example the pakistan floods are an apt example of the cost it had to bear what are your thoughts on greenmobility,0
181,excited to announce that the saf flood relief dvc has been nominated for the once again scan the qr code and vote for saf to help us spread the message of hopenotout for all vote https t co cmcatuyyvu https t co ct fwju kz,40
577,exec director spoke to s about the uk s responsibility to compensate countries such as pakistan who experienced devastating floods earlier this year cop lossanddamage climatefinance compensation https t co b xqnhzgpq,1
1476,fact check bullsocks https t co panqcpf d https t co ptvmr qqhq,0
1391,federal mister for poverty alleviation social safety shazia marri meets un s dg mr qu dongyu at rome italy briefed him food-agro issues caused by devastating floods in pakistan she briefed them benazirincomesupport program contribution to help affectees in timely manner https t co bpdm eave,0
1132,floods and drought we have never seen before is this gobshie for real pakistan has had floods and droughts for thousands of years thousands as has europe absolute dogs bossex,1
835,floods have been occurring in pakistan since the s due to monsoon season natural and cyclical no amount of money is going to change what mother nature does,0
484,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co daketuooq,0
199,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co ev iagsvm,0
421,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co jh v zhh,0
439,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co lool noqal,0
449,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co omwrbpnmvz,0
343,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co penempyfqm,0
473,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co prfaqxgngm,0
192,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co qsvhoan bp,0
461,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co rblhv qen,0
418,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co tgnu ab tz,0
203,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co ygnyorw qw,0
479,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co yk vmrni f,0
355,floods have devastated balochistan yet it doesn t seem like the pakistani government is concerned the government of pakistan should be compelled to provide assistance by international organisations balochistanfloods balochgenocide https t co zvkapobvtp,0
1455,floods have particularly impacted the poorest most vulnerable districts in pakistan undpinpakistan are partnering to create income opportunities for flood-affected families in sindh morehttps t co turvjf qzn pakistanfloods resilientpakistan https t co ygcin oimk,20
351,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide balochistan https t co xwmxirxg u,0
482,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide https t co d erfcg k,0
419,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide https t co dz u xxo,0
414,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide https t co jl d lzolt,0
341,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide https t co qsi gfr ui,0
477,floods have wreaked havoc in balochistan driving many people both young and old from their homes the rulers in pakistan are arrogant as seen by their lack of compassion for the flood victims balochistanfloods balochgenocide https t co z kjicgrx,0
334,floods in pakistan access to education water restored in swat valley thanks to specialists from have repaired schools suspension bridges water distribution systems press releasehttps t co dihmk qiy pakistanfloods https t co dy mcyiy x,35
1368,floods in pakistan have been happening for at least the last years and their government has done nothing about it pakistan never had an industrial revolution,0
988,floods in pakistan have no effect in north america don t care,0
883,floods in pakistan in there were million people and it was covered by trees over those years deforestation has taken place and they re now over million people so when it rains it floods no trees to stop it why should we compensate them for their actions,1
1246,floods in pakistan produced megabucks of aid none of which got as far as buying flood defence source wiki not just me rancid corruption don t waste your money,2
172,floods in pakistan the swiss agency for development and cooperation helped the swat valley get access to water education with the collaboration of https t co sv kl tkt,0
1262,floods in scotland and pakistan do fck all not really news but the facts are never reported by the racist dictatorship bbcbreakfast https t co g uurljilo,0
1271,floods in scotland so is every bank tv station media outlet and pakistan having a whip around no so fck off with your racism bbcbreakfast,1
1253,floods in uk are often caused by having built on the flood plain and by having concreted over the soil in pakistan it is due to excessive rainfall climate crisis is a political myth,0
1118,for someone who has seen his home disappear in the floods in pakistan a solar panel or a sea wall isn t much use explained from the climate action network emissions peaking before as the science tells us is necessary not in this text,1
1142,from somalia to pakistan from drought to floods climatecrisis is hitting us hard the lossanddamagefund lobbied by g is the only positive outcome despite its focus on implementation the world will wait for cop to include fossilfuels phaseout https t co vmqt ryv,14
1090,funny how trisha goddard on is talking about absolute truths after allowing her previous guest to repeat unchallenged the already debunked line about a third of pakistan being flooded https t co zssdlebwa,2
234,get to know better and learn more about our story https t co sj sfcg be sure to donate and help us support emergency responses around the world https t co umza prefq pennyappealcanada nonprofit emergencyresponse pakistanfloods nigeriafloods,1
742,getting the initial buy-in from the polluters of the first world is a phenomenal foundation stone using which pakistan a developing country battered by the unrelenting onslaught of biblical floods would stand on its own feet bbzleadingclimatejustice https t co eesrkngt v,7
1135,given the floods the debt is bound to increase as a result the already ramshackle development will further suffer shortage of fuel will expound nation s problem despite all this there s no political consensus to drag pakistan out of this mess https t co bsuu odr,0
1473,glad to share kfw s support to pakistan s devastating floods on behalf of strongertogether teameurope https t co opoqizv gg,14
551,go live in pakistan for a while and experience the floods then tell me it s not incredibly important,2
1426,good luck football club thank you for helping unhcr relief efforts so many people still in great need in the aftermath of the pakistan floods https t co lviydtzfat,1
1432,good luck to football club on their first-ever charity match against british airways to support families affected by the pakistan floods through charity partners including uk for unhcr https t co kwq czgop,3
1219,good move loss afghanistan india raw lost leverage in pak afghanistan conditions with funds freezes could turn fertile ground terrorist in future even floods in pakistan taiwan aims india dispute lac china can push pak afghans to terrorism for containing india,0
247,great perspective by the great ancient grains like millet could be key to rebuilding food systems https t co udejyli p,8
1325,guess you didn t hear about those floods in pakistan or that some island nations will be completely underwater you might not like it but it s a fact https t co v x gfc h,0
1117,guest on lbc suggests deforestation may have contributed to the extent of the pakistan floods gets called climate change denier by,1
