,tweets,likes,time,source
350,"A Hero in Saudi Arabia Everyone knows his name, from Pakistan he came. 

Saved 14 People who were drowning in floods, passed away in doing so. 

As gratitude for his heroic sacrifice, he was awarded the highest order of merit by the king.

his family was hosted for haj pilgrimage https://t.co/heNd13HGwX",0,2022-11-25 13:44:36+00:00,Twitter for iPhone
354,economics: Pakistan’s central bank unexpectedly raises its benchmark interest rate by 100 basis points amid elevated inflation as the economy struggles to recover from floods that caused heavy losses https://t.co/pFQxDP4a7Z,0,2022-11-25 13:37:35+00:00,IFTTT
357,"@ashwin_srao @ThoughtPower1 @actor_Nikhil @RichaChadha Pakistan or any country is busy with their internal affairs. Floods, Inflation, political turmoil etc. 
So as an Indian please focus on Indian issues like Prices, taxes, Unemployment, PSU sale, SMB closures, MNC exits, China annexing Indian territory in 2021 etc.",8,2022-11-25 13:29:02+00:00,Twitter for iPhone
360,@YousufNazar @mansooraamir @TheEconomist @sherryrehman Sometimes good things come out of bad. Hoping it’s the case here and the recent massive floods in Pakistan open the door to a complete reform. 🤞,0,2022-11-25 13:24:40+00:00,Twitter for iPhone
361,"Here’s the view from this morning’s green and white assembly to raise awareness of the floods in Pakistan 🇵🇰. Our friends @HFS786 @SunAcademyPK and @AlyabadCS inspired us. @HolmerAcademy #worship If you can, please donate via one of the official UK fundraisers online. https://t.co/2Fjtj8D7Xa",1,2022-11-25 13:17:45+00:00,Twitter for iPhone
365,"The decision comes as we face a slowing economy. Floods that killed more than 1,600 people this year halved growth &amp; caused big damage.
Pakistan's latest loan from the IMF has also been delayed. The lender wants 🇵🇰 to tally up its losses from the floods B4 releasing more money.",1,2022-11-25 13:14:14+00:00,Twitter Web App
366,H.E. @RKionka Ambassador of the @EUPakistan met with the Deputy Commissioner Kalat Mr. Muneer Durrani. DC Kalat spoke about the devastation caused by recent floods &amp; how people are unequipped for the upcoming harsh winter. He also suggested the expansion of @BRACE_BRSP https://t.co/p3tqNOP5pn,34,2022-11-25 13:13:30+00:00,Twitter for Android
369,"In Balochistan, it was taken out in favor of the Pakistan Army. Citizens participated in large numbers in the rally. participants paid tribute to Pakistan Army for the relief operations they did in the recent floods and rains

 #NationStandWithInstitutions https://t.co/8qd6Kr1RYE",0,2022-11-25 13:09:11+00:00,Twitter for Android
370,"@safia6785 @Gangadesh78 The time has come for me to repay the favour and increase the blood pressure of Afghans. I haven't finished my innings. 😂

I don't respect people who call Pashtuns Gul Khan, mock the floods in Pakistan and insult Punjabis.",5,2022-11-25 13:08:41+00:00,Twitter Web App
371,"@BjornLomborg Skimmed it just now.  Gd of you to make the start freely available. Cld you update us on Pakistan - causes of flooding, scale, heatwave 3 months before the floods so severe birds dropped dead frm the skies.  Suspect basic survival of &gt;30 million ppl is top of their list rt now.",0,2022-11-25 13:08:04+00:00,Twitter Web App
372,"Flooded Sindh was a wholesale GOVERNMENT inability to respond. Pakistan has a RESPONSIBILITY. Improve baseline infrastructure development, flood response, and emergency aid. The shelters were/are a disgrace. 
Flood &amp; Loss $ can’t fix systemic problems.
https://t.co/OuOrzpkkc7 https://t.co/irWA8a0Q2k",1,2022-11-25 13:03:53+00:00,Twitter for iPad
375,"State Bank of Pakistan increases interest rate by 1% as the economy struggles to recover from floods that have caused heavy damage.

More: https://t.co/7u01KJ1CZr

#AajDigital",0,2022-11-25 12:59:55+00:00,TweetDeck
392,Pakistan’s central bank unexpectedly raises its benchmark interest rate by 100 basis points amid elevated inflation as the economy struggles to recover from floods that caused heavy losses https://t.co/YeEV6DRwhz,6,2022-11-25 12:36:54+00:00,SocialFlow
393,Here's an interesting take on the limits of loss and damage funding &amp; a solid update on the situation in Pakistan following the historic floods. https://t.co/YecIHK5cwj,1,2022-11-25 12:35:45+00:00,Twitter Web App
394,"In Gandakha, Balochistan.

4 months after the floods, peasants are still inundated. Malaria is rampant. No government welfare to speak of.
Meanwhile, landlords/political elite run riot in cahoots with local admin.

And mainstream Pakistan is concerned only with palace intrigues. https://t.co/ENy0p2FZ9u",50,2022-11-25 12:34:28+00:00,Twitter Web App
395,"“The G77 was ably led by @sherryrehman Minister of Climate Change of Pakistan, who spoke passionately on behalf of both, Pakistanis who had suffered devastating floods with losses and damages estimated at USD 30 billion, and all the people from vulnerable developing countries” https://t.co/OECO9uqc9L",0,2022-11-25 12:34:06+00:00,Twitter for iPhone
398,"WINTER APPEAL
You helped Shamsu survive the floods, please help her survive Winter now. 
See how you can help in our Winter Appeal: https://t.co/hXVFoA2dlv
#balochistan #cookedmeals #ehsaas #flooddamage #floods #pakistan #pakistanwinter #punjab #sindh #winter #winterappeal https://t.co/wFIwoELcc9",0,2022-11-25 12:25:01+00:00,Twitter Web App
399,Hey Twitter! I've just donated to the DEC Pakistan Floods Appeal to help provide aid to people in need of urgent help to survive. Can you help? https://t.co/NZ8UPpX1YH,0,2022-11-25 12:24:43+00:00,Twitter Web App
401,"🇵🇰 In #Pakistan, our team is on the ground, regularly visiting the communities and providing essential healthcare services, medications and medical supplies. 

Winter is around the corner, which will only make problems worse. Action is needed now ⬇️ 

https://t.co/DtPfsZ15tE https://t.co/PZ6sUDd8vW",3,2022-11-25 12:20:05+00:00,Sprout Social
408,PAKISTAN CENBANK: FLOODS COULD MAKE IT CHALLENGING TO ACHIEVE TH… https://t.co/dorbGKkJKx https://t.co/VwjnT0N7BX,0,2022-11-25 12:04:14+00:00,dlvr.it
410,@TheLegateIN Pakistan needs frequent floods to get aids . Are they using people of Pakistan now like terrorists to get money from west. New business format,1,2022-11-25 12:03:38+00:00,Twitter for iPhone
412,"🇵🇰 “Women consistently speak of migraines, insomnia, anxiety, the inability to sleep, think, move, function, and battle debilitating depression.” | Writes @MenaalMunshey https://t.co/hnIAczc8Bh",2,2022-11-25 12:01:06+00:00,Buffer
416,"@TheLegateIN Strangely some western politicians and NGO/media has been favouring aid to Pakistan in name of climate change payment from developed countries to developing countries. Floods have happened in other developing countries. oney will be shared by Pak army &amp; US politicians, media etc.",3,2022-11-25 11:59:39+00:00,Twitter Web App
418,"To address challenges #Transgender community is facing in floods in Pakistan, #PJN signed MoU with Hon. Chairperson Rabiya Javeri Agha @nchrofficial for joint action on national program ""Inclusion of Transgender Community in Flood Response"" supported by @Concern @USAID_Pakistan https://t.co/QhQDp9GVcc",10,2022-11-25 11:57:00+00:00,Twitter Web App
419,"Mehreen Shahid on the role Safe Delivery Safe Mother during the recent floods in Pakistan, ""We provided life-saving services to women in the remotest flood-affected areas and continue to render our services.""

https://t.co/vryMiayxH5

#ALUMSChat #ImagineYourFuture",2,2022-11-25 11:55:13+00:00,Twitter for iPhone
423,"""It was an ordinary evening."" 
Ayesha Shaikh, 19, recalls the night the devastating floods hit her hometown in #Pakistan. She had never heard nor seen something so catastrophic.
by @askayeshashaikh
https://t.co/LvvQd7RVc7",6,2022-11-25 11:49:45+00:00,Twitter Web App
427,@UNICEF_Pakistan Millions of children have been impacted by the floods in Pakistan while hundreds have even lost their lives. These children are the future of this world. Urgent action must be taken to ensure their nutrition and education.,0,2022-11-25 11:43:30+00:00,Twitter for Android
443,"So we have now moved to the next phase of providing housing. 
We are able to construct a self-contained house made with bricks &amp; cement for just £650*
You may help with 1 or more houses or be part in building the house if you can.
https://t.co/TV0Q6YBbo7
#pakistanfloods 
#rebuild",0,2022-11-25 11:16:27+00:00,Twitter Web App
444,"Rebuilding lives!! 
build a house for a Pakistan Floods victims, give them safety and warmth during winter..
waters have subsided and people have been returning to the areas where their homes once stood. They are still living in tents. This is no way for human beings to live. https://t.co/4XIB2Mofvk",1,2022-11-25 11:16:26+00:00,Twitter Web App
447,"“#COP27, in many ways, was a turning point in dealing with the consequences of #climatechange but not the cause.""

@CANIntl's @harjeet11 spoke to @betwasharma about securing the #LossAndDamageFund, but failed efforts to reduce #CO2 &amp; phase out fossil fuels
https://t.co/bFCfrIN3ou",6,2022-11-25 11:15:00+00:00,Twitter Web App
449,"""Studies show that aerosols strongly affect the likelihood of extreme precipitation events, such as those that contributed to Pakistan’s floods, and many other climate hazards."" 
https://t.co/JeYhJztJmT",1,2022-11-25 11:13:19+00:00,Twitter for Android
